ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ISCRIZIONE;DESCRIZIONE_ISCRIZIONE;ISCRITTI_LAUREA;ISCRITTI_DOTTORATO;ISCRITTI_SPECIALIZZAZIONE;ISCRITTI_MASTER_PERFEZIONAMENTO
2010-2011;08003;Reggio Calabria - Università per Stranieri;T1 ;Totale iscritti;368;0;0;121
2010-2011;08201;Palermo - Università degli studi;T1 ;Totale iscritti;61147;757;951;706
2010-2011;08301;Messina - Università degli studi;T1 ;Totale iscritti;30182;781;1031;652
2010-2011;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1 ;Totale iscritti;5568;52;0;57
2010-2011;08701;Catania - Università degli studi;T1 ;Totale iscritti;55552;789;1224;382
2010-2011;09001;Sassari - Università degli studi;T1 ;Totale iscritti;15471;386;562;207
2010-2011;09201;Cagliari - Università degli studi;T1 ;Totale iscritti;30756;418;929;167
2011-2012;00101;Torino - Università degli studi;T1 ;Totale iscritti;64239;1047;1510;1836
2011-2012;00101;Torino - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;609;;
2011-2012;00101;Torino - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;00102;Torino - Politecnico;T1 ;Totale iscritti;28920;741;28;403
2011-2012;00102;Torino - Politecnico;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;408;;
2011-2012;00102;Torino - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;2;0;0;139
2011-2012;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1 ;Totale iscritti;9406;170;246;247
2011-2012;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;105;;
2011-2012;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;00401;Bra (CN) - Università di Scienze Gastronomiche;T1 ;Totale iscritti;256;0;0;70
2011-2012;00401;Bra (CN) - Università di Scienze Gastronomiche;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;00401;Bra (CN) - Università di Scienze Gastronomiche;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;00701;Aosta - Università degli studi;T1 ;Totale iscritti;1148;0;0;0
2011-2012;00701;Aosta - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;00701;Aosta - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01001;Genova - Università degli studi;T1 ;Totale iscritti;34229;1098;936;901
2011-2012;01001;Genova - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;651;;
2011-2012;01001;Genova - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;12
2011-2012;01201;"Castellanza - Università ""Carlo Cattaneo""";T1 ;Totale iscritti;1820;25;0;396
2011-2012;01201;"Castellanza - Università ""Carlo Cattaneo""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;14;;
2011-2012;01201;"Castellanza - Università ""Carlo Cattaneo""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;58
2011-2012;01202;Varese - Università dell' Insubria;T1 ;Totale iscritti;8799;216;333;67
2011-2012;01202;Varese - Università dell' Insubria;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;117;;
2011-2012;01202;Varese - Università dell' Insubria;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1 ;Totale iscritti;6733;0;0;328
2011-2012;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01501;Milano - Università degli studi;T1 ;Totale iscritti;59770;1332;2441;1626
2011-2012;01501;Milano - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;829;;
2011-2012;01501;Milano - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01502;Milano - Politecnico;T1 ;Totale iscritti;37626;1123;19;1434
2011-2012;01502;Milano - Politecnico;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;592;;
2011-2012;01502;Milano - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1 ;Totale iscritti;13342;121;0;1154
2011-2012;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;97;;
2011-2012;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;70
2011-2012;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1 ;Totale iscritti;39888;651;1169;2297
2011-2012;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;172;;
2011-2012;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1 ;Totale iscritti;4307;54;0;365
2011-2012;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;38;;
2011-2012;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01508;Milano - Università Vita-Salute San Raffaele;T1 ;Totale iscritti;1972;171;316;40
2011-2012;01508;Milano - Università Vita-Salute San Raffaele;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;34;;
2011-2012;01508;Milano - Università Vita-Salute San Raffaele;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01509;Milano-Bicocca - Università degli studi;T1 ;Totale iscritti;33142;596;453;594
2011-2012;01509;Milano-Bicocca - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;396;;
2011-2012;01509;Milano-Bicocca - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01601;Bergamo - Università degli studi;T1 ;Totale iscritti;14424;277;0;316
2011-2012;01601;Bergamo - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;177;;
2011-2012;01601;Bergamo - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;53
2011-2012;01701;Brescia - Università degli studi;T1 ;Totale iscritti;14310;204;564;314
2011-2012;01701;Brescia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;136;;
2011-2012;01701;Brescia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01801;Pavia - Università degli studi;T1 ;Totale iscritti;21610;617;961;352
2011-2012;01801;Pavia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;370;;
2011-2012;01801;Pavia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;01802;Pavia - Istituto universitario di studi superiori;T1 ;Totale iscritti;0;62;0;73
2011-2012;01802;Pavia - Istituto universitario di studi superiori;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;48;;
2011-2012;01802;Pavia - Istituto universitario di studi superiori;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;18
2011-2012;02101;Bolzano - Libera Università;T1 ;Totale iscritti;2807;84;0;29
2011-2012;02101;Bolzano - Libera Università;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;68;;
2011-2012;02101;Bolzano - Libera Università;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;02201;Trento - Università degli studi;T1 ;Totale iscritti;16287;577;0;72
2011-2012;02201;Trento - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;431;;
2011-2012;02201;Trento - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;02301;Verona - Università degli studi;T1 ;Totale iscritti;21956;582;914;660
2011-2012;02301;Verona - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;355;;
2011-2012;02301;Verona - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;02701;"Venezia - Università degli studi ""Cà Foscari""";T1 ;Totale iscritti;19035;383;214;333
2011-2012;02701;"Venezia - Università degli studi ""Cà Foscari""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;184;;
2011-2012;02701;"Venezia - Università degli studi ""Cà Foscari""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;02702;Venezia - Università IUAV;T1 ;Totale iscritti;5469;151;0;167
2011-2012;02702;Venezia - Università IUAV;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;82;;
2011-2012;02702;Venezia - Università IUAV;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;02801;Padova - Università degli studi;T1 ;Totale iscritti;60374;1519;1507;1375
2011-2012;02801;Padova - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;1030;;
2011-2012;02801;Padova - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;03001;Udine - Università degli studi;T1 ;Totale iscritti;15378;399;320;217
2011-2012;03001;Udine - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;215;;
2011-2012;03001;Udine - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;03201;Trieste - Università degli studi;T1 ;Totale iscritti;18116;401;345;382
2011-2012;03201;Trieste - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;263;;
2011-2012;03201;Trieste - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1 ;Totale iscritti;0;246;0;66
2011-2012;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;244;;
2011-2012;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;29
2011-2012;03401;Parma - Università degli studi;T1 ;Totale iscritti;27603;428;170;185
2011-2012;03401;Parma - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;205;;
2011-2012;03401;Parma - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;03601;Modena e Reggio Emilia - Università degli studi;T1 ;Totale iscritti;17195;372;211;505
2011-2012;03601;Modena e Reggio Emilia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;227;;
2011-2012;03601;Modena e Reggio Emilia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;03701;Bologna - Università degli studi;T1 ;Totale iscritti;80024;1668;1228;1739
2011-2012;03701;Bologna - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;965;;
2011-2012;03701;Bologna - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;03801;Ferrara - Università degli studi;T1 ;Totale iscritti;17067;356;370;334
2011-2012;03801;Ferrara - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;174;;
2011-2012;03801;Ferrara - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;04101;"Urbino - Università degli studi ""Carlo Bo""";T1 ;Totale iscritti;14350;170;43;344
2011-2012;04101;"Urbino - Università degli studi ""Carlo Bo""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;87;;
2011-2012;04101;"Urbino - Università degli studi ""Carlo Bo""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;04201;Ancona - Università Politecnica delle Marche;T1 ;Totale iscritti;15827;503;398;388
2011-2012;04201;Ancona - Università Politecnica delle Marche;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;340;;
2011-2012;04201;Ancona - Università Politecnica delle Marche;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;04301;Macerata - Università degli studi;T1 ;Totale iscritti;10297;225;95;310
2011-2012;04301;Macerata - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;131;;
2011-2012;04301;Macerata - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;04302;Camerino - Università degli studi;T1 ;Totale iscritti;7828;179;136;221
2011-2012;04302;Camerino - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;118;;
2011-2012;04302;Camerino - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;21
2011-2012;04601;Lucca - Scuola IMT Alti Studi;T1 ;Totale iscritti;0;98;0;0
2011-2012;04601;Lucca - Scuola IMT Alti Studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;78;;
2011-2012;04601;Lucca - Scuola IMT Alti Studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;04801;Firenze - Università degli studi;T1 ;Totale iscritti;53496;1066;1021;1781
2011-2012;04801;Firenze - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;588;;
2011-2012;04801;Firenze - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;146
2011-2012;04803;Firenze - Istituto Italiano di Scienze Umane;T1 ;Totale iscritti;0;78;0;0
2011-2012;04803;Firenze - Istituto Italiano di Scienze Umane;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;74;;
2011-2012;04803;Firenze - Istituto Italiano di Scienze Umane;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;04804;"Firenze - Università telematica ""Italian University line""";T1 ;Totale iscritti;58;0;0;46
2011-2012;04804;"Firenze - Università telematica ""Italian University line""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;04804;"Firenze - Università telematica ""Italian University line""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05001;Pisa - Università degli studi;T1 ;Totale iscritti;47540;833;937;1217
2011-2012;05001;Pisa - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;538;;
2011-2012;05001;Pisa - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05002;Pisa - Scuola normale superiore;T1 ;Totale iscritti;270;188;0;0
2011-2012;05002;Pisa - Scuola normale superiore;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;188;;
2011-2012;05002;Pisa - Scuola normale superiore;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1 ;Totale iscritti;271;318;0;126
2011-2012;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;223;;
2011-2012;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;16;0;0
2011-2012;05201;Siena - Università degli studi;T1 ;Totale iscritti;17216;627;589;717
2011-2012;05201;Siena - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;369;;
2011-2012;05201;Siena - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05202;Siena - Università per stranieri;T1 ;Totale iscritti;762;30;46;66
2011-2012;05202;Siena - Università per stranieri;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;6;;
2011-2012;05202;Siena - Università per stranieri;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05401;Perugia - Università degli studi;T1 ;Totale iscritti;27996;326;637;250
2011-2012;05401;Perugia - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;109;;
2011-2012;05401;Perugia - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;10;0;0
2011-2012;05403;Perugia - Università per stranieri;T1 ;Totale iscritti;1315;27;0;37
2011-2012;05403;Perugia - Università per stranieri;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;16;;
2011-2012;05403;Perugia - Università per stranieri;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05601;Viterbo - Università della Tuscia;T1 ;Totale iscritti;8085;261;14;79
2011-2012;05601;Viterbo - Università della Tuscia;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;153;;
2011-2012;05601;Viterbo - Università della Tuscia;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05801;"Roma - Università degli studi ""La Sapienza""";T1 ;Totale iscritti;121943;3105;3431;2375
2011-2012;05801;"Roma - Università degli studi ""La Sapienza""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;1945;;
2011-2012;05801;"Roma - Università degli studi ""La Sapienza""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05802;"Roma - Università degli studi di ""Tor Vergata""";T1 ;Totale iscritti;33591;1655;1029;2205
2011-2012;05802;"Roma - Università degli studi di ""Tor Vergata""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;765;;
2011-2012;05802;"Roma - Università degli studi di ""Tor Vergata""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1 ;Totale iscritti;6824;63;52;464
2011-2012;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;27;;
2011-2012;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;350;0;3;17
2011-2012;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);T1 ;Totale iscritti;7803;170;139;654
2011-2012;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;96;;
2011-2012;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;1;0;0;40
2011-2012;05806;"Roma - Università degli studi del ""Foro Italico""";T1 ;Totale iscritti;1846;41;0;0
2011-2012;05806;"Roma - Università degli studi del ""Foro Italico""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;22;;
2011-2012;05806;"Roma - Università degli studi del ""Foro Italico""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05807;Roma - III Università degli studi;T1 ;Totale iscritti;35471;615;188;1277
2011-2012;05807;Roma - III Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;401;;
2011-2012;05807;Roma - III Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;88
2011-2012;05808;"Roma - Università ""Campus Bio-Medico""";T1 ;Totale iscritti;1458;76;245;243
2011-2012;05808;"Roma - Università ""Campus Bio-Medico""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;52;;
2011-2012;05808;"Roma - Università ""Campus Bio-Medico""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;12;0;0
2011-2012;05809;Roma - Libera Università degli Studi Per l'Innovazione e le Organizzazioni;T1 ;Totale iscritti;1226;2;0;1134
2011-2012;05809;Roma - Libera Università degli Studi Per l'Innovazione e le Organizzazioni;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;1;;
2011-2012;05809;Roma - Libera Università degli Studi Per l'Innovazione e le Organizzazioni;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1 ;Totale iscritti;7434;67;47;1875
2011-2012;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;2;;
2011-2012;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1 ;Totale iscritti;1609;0;0;1764
2011-2012;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05812;Roma - Università Europea;T1 ;Totale iscritti;942;22;12;2436
2011-2012;05812;Roma - Università Europea;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;12;;
2011-2012;05812;Roma - Università Europea;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1 ;Totale iscritti;8966;0;0;40
2011-2012;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05814;Roma - Universitas Mercatorum;T1 ;Totale iscritti;183;0;0;30
2011-2012;05814;Roma - Universitas Mercatorum;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;05814;Roma - Universitas Mercatorum;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1 ;Totale iscritti;9854;8;0;2263
2011-2012;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;1;;
2011-2012;05815;Roma - Università telematica Niccolò Cusano (già UNISU);T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1 ;Totale iscritti;438;0;0;587
2011-2012;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;0;;
2011-2012;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2011-2012;06001;Cassino - Università degli studi;T1 ;Totale iscritti;10312;163;1;125
2011-2012;06001;Cassino - Università degli studi;T1a;Totale iscritti - di cui assegnatari di borsa di studio di dottorato di ricerca (DM 30/4/99 n. 224, art 7);;75;;
