TIPO;PROGRESSIVO_DM_ASS;DATA_PRIMA_PUBBLICAZIONE;DM_RIFERIMENTO;GRUPPO_DM_SIMILI;ISCRIZIONE_REPERTORIO;INIZIO_VALIDITA;FINE_VALIDITA;FABBRICANTE_ASSEMBLATORE;CODICE_FISCALE;PARTITA_IVA_VATNUMBER;CODICE_CATALOGO_FABBR_ASS;DENOMINAZIONE_COMMERCIALE;CLASSIFICAZIONE_CND;DESCRIZIONE_CND;DATAFINE_COMMERCIO
1;1409;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;93BOPXXXXX;BOP;S01010102;BUSTE CON SOFFIETTO IN ACCOPPIATO CARTA/FILM PLASTICO PER STERILIZZAZIONE;
1;1410;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;94BOPXXXXXX;BOP;S01020102;ROTOLI CON SOFFIETTO IN ACCOPPIATO CARTA/FILM PLASTICO PER STERILIZZAZIONE;
1;1411;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;AAPBOPXXXX;BOP;S01010101;BUSTE PIATTE IN ACCOPPIATO CARTA/FILM PLASTICO PER STERILIZZAZIONE;
1;1412;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;24REXXXXXX;STERIBAG;S010199;BUSTE PER STERILIZZAZIONE - ALTRE;
1;1413;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;"101AMCXXXX; 101AMFXXXX";AMCOR VIEW-PACK;S01010101;BUSTE PIATTE IN ACCOPPIATO CARTA/FILM PLASTICO PER STERILIZZAZIONE;
1;1414;2007-08-11;;;N;2007-08-11;9999-12-31;GIULIANI;00752450155;00752450155;F4050810-SL;BIOSCALIN PIDOK.O. OLIO ANTIPEDICULOSI 75 ML;V9099;DISPOSITIVI NON COMPRESI NELLE CLASSI PRECEDENTI - ALTRI;
1;1415;2008-12-08;;;S;2008-12-08;9999-12-31;SACA UNIT BIO SRL;03738480965;03738480965;TROLLEY01MED;CARRELLO PORTABOMBOLE SINGOLO LT 5-14 MOD TROLLEY01MED;Z120309;SISTEMI GAS MEDICALI/MEDICINALI E RELATIVI COMPONENTI ACCESSORI;
1;1421;2008-09-24;;;S;2008-09-24;9999-12-31;BIOTRONIK GMBH & CO. KG;;136651322;34636X;SELOX;J0190010102;ELETTROCATETERI ENDOCARDICI BIPOLARI ATRIALI E VENTRICOLARI (A FISSAGGIO ATTIVO E PASSIVO);
1;1443;2007-07-11;;;S;2007-07-11;9999-12-31;ID&CO S.R.L.;09018810151;09018810151;TC 1001;SKINTACT;K0299;DISPOSITIVI PER ELETTROCHIRURGIA - ALTRI;2018-03-26
1;1445;2007-08-15;;;N;2007-08-15;9999-12-31;CRAB SINERGY;03353400165;03353400165;00067870000000;RICARICHE KIT ASPIRATORE NASALE NASONET;V028002;KIT PER LA CURA DEL NEONATO;2012-01-01
1;1446;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;1000-90;VALVOLOTOMO AUTOESPANDIBILE LEMAITRE;C019017;VALVULOTOMI;2009-04-01
1;1447;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;2000-XX;SHUNT CAROTIDEO PRUITT-INAHARA;C019006;SHUNT CAROTIDEI;2009-04-01
1;1448;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;2020-05;SHUNT CAROTIDEO FLEXCEL;C019006;SHUNT CAROTIDEI;2009-04-01
1;1449;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;21X0-12;CATETERI PER OCCLUSIONE AORTICA PRUITT;C0104020103;CATETERI DA OCCLUSIONE VASCOLARE;
1;1450;2007-07-12;;;N;2007-07-12;9999-12-31;CLEANEAR SRL;01327920227;01327920227;OI2FLOPACK;OTO-IGIENE;Q03040299;DISPOSITIVI PER IRRIGAZIONE DELL'ORECCHIO - ALTRI;
1;1461;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;4820XXXXXX;CLEANTEX;S010199;BUSTE PER STERILIZZAZIONE - ALTRE;
1;1462;2007-09-14;;;S;2007-09-14;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;310XXXXXX;RELIANCE;S010301;CARTA CRESPATA MEDICALE PER STERILIZZAZIONE;
1;1463;2007-08-31;;;S;2013-10-25;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;6629XXXXX;RELIANCE 335;S010302;TESSUTO NON TESSUTO PER STERILIZZAZIONE;
1;1464;2007-08-31;;;S;2013-10-25;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;12214XXXXX;RELIANCE 355;S010302;TESSUTO NON TESSUTO PER STERILIZZAZIONE;
1;1465;2007-08-26;;;N;2007-08-26;9999-12-31;POLY VAC INC.;;;DA POLY1-2700 A POLY1-7120;SCATOLE PORTASTRUMENTI IN RADEL CON TAPPETO IN SILICONE;S0199;MATERIALI PER IL CONFEZIONAMENTO IN STERILIZZAZIONE - ALTRI;2008-03-06
1;1466;2007-08-31;;;S;2013-10-25;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;7365XXXXX;RELIANCE 345;S010302;TESSUTO NON TESSUTO PER STERILIZZAZIONE;
1;1467;2007-08-31;;;S;2007-08-31;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;9999XXXXX;DEXTEX 3;S010302;TESSUTO NON TESSUTO PER STERILIZZAZIONE;
1;1468;2007-08-31;;;S;2007-08-31;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;12284XXXX;PLASMA WRAP;S010302;TESSUTO NON TESSUTO PER STERILIZZAZIONE;
1;1469;2007-08-31;;;S;2007-08-31;9999-12-31;AHLSTROM SPECIALTIES SA;;53352703201;309XXXX-XXX;RELIANCE 309;T030104;TELI NON CHIRURGICI;
1;1470;2007-08-26;;;N;2007-08-26;9999-12-31;P.S.T PLASTIC STERILIZING TRAY CORPORATION;;;DA PST1300A A PST6120A  PST 19900;SCATOLE PORTASTRUMENTI IN POLISULFONE CON TAPPETO IN SILICONE;S0199;MATERIALI PER IL CONFEZIONAMENTO IN STERILIZZAZIONE - ALTRI;2008-03-06
1;1471;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;3108XX;ESTERIVEC;S01010201;BUSTE PIATTE IN ACCOPPIATO TYVEK/FILM PLASTICO PER STERILIZZAZIONE;
1;1472;2007-08-26;;;S;2007-08-26;9999-12-31;AMCOR FLEXIBLES SPS;;68321716847;3108XXX;ESTERIVEC;S01020201;ROTOLI PIATTI IN ACCOPPIATO TYVEK/FILM PLASTICO PER STERILIZZAZIONE;
1;1473;2007-08-22;;;S;2007-08-22;9999-12-31;HEALTHMARK INDUSTRIES CO;;;"0XXX; 1XXXXXX; 2XXXXX;  3XXXX-XX; 4XXX-X; 6XXX; 7XXX; PITXXXX";PROTECH;V0402;VASSOI E BACINELLE PER USO CLINICO;
1;1481;2007-08-26;;;S;2007-08-26;9999-12-31;SERRES OY;;05917213;57XXX;SERRES SUCTION SYSTEM;A06030499;DISPOSITIVI PER LA RACCOLTA INTRAOPERATORIA DEI LIQUIDI ASPIRATI - ALTRI;
1;1482;2007-07-16;;;S;2007-07-16;9999-12-31;EB NEURO S.P.A.;01772220065;04888840487;B9700068000;MANIPOLO DI STIMOLAZIONE ELETTRICA;Z129080;STRUMENTAZIONE VARIA PER ESPLORAZIONI FUNZIONALI ED INTERVENTI TERAPEUTICI - COMPONENTI ACCESSORI HARDWARE;
1;1501;2007-09-02;;;S;2007-09-02;9999-12-31;JOHNSON & JOHNSON INTERNATIONAL;;441720974;V239G;VICRYL;H010101020201;ACIDO POLIGLICOLICO CON ACIDO LATTICO MONTATO;2016-10-07
1;1526;2007-07-14;;;N;2007-07-14;9999-12-31;MTI GMBH;;142928838;DA SIR-200 A SIR-233;PORT'AGHI;L0205;PORTAGHI;2007-11-29
1;1527;2008-04-10;;;S;2018-03-19;9999-12-31;VASCUTEK LTD;;806391432;631206P;GELSOFT PLUS BIFORCATA;P070102010201;PROTESI VASCOLARI MULTIFORCATE IN DACRON MAGLIA (ARCO AORTICO (anche collaterali multipli) E TORACO- ADDOMINALI);
1;1528;2008-11-14;;;S;2008-11-14;9999-12-31;PEROUSE PLASTIE;;55434025318;83/84 + 20-25T/24-37T/30-44T/32-48T/38-53T = 85/86 + 20-25/24-37/30-44/32-48/38-53;PROTESI TESTICOLARE PRERIEMPITA IN GEL O IN  ELASTOMERO SOLIDO DI SILICONE CON O SENZA SUTURE LOOP;P080201;PROTESI TESTICOLARI;2010-12-31
1;1529;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;1801-XX;NOVASIL, CATETERE SENZA LATTICE PER EMBOLECTOMIA;C019002;CATETERI PER EMBOLECTOMIA;2009-04-01
1;1541;2007-08-04;;;S;2007-08-04;9999-12-31;VASCUTEK LTD;;806391432;NMUS;NMUS, NON MAGNETIC ULTRA STIFF GUIDEWIRE;C04020202;GUIDE VASCOLARI PERIFERICHE INTERVENTISTICHE NON IDROFILE;
1;1542;2008-04-17;;;S;2008-04-17;9999-12-31;VASCUTEK LTD;;806391432;XCLMW;CLMW, FCLMW FILI GUIDA MAGNETICI CONTROLATERALI;C04020202;GUIDE VASCOLARI PERIFERICHE INTERVENTISTICHE NON IDROFILE;
1;1561;2008-08-29;;;S;2008-08-29;9999-12-31;MEGAPHARMA OSPEDALIERA S.R.L.;02032400265;02032400265;02PM00SXX;PINZETTA MONOUSO STERILE;V9099;DISPOSITIVI NON COMPRESI NELLE CLASSI PRECEDENTI - ALTRI;
1;1581;2007-08-26;;;N;2007-08-26;9999-12-31;ARTHUR WIRTH;;142922824;DA SIR-810 A SIR-841;BLEFAROSTATI;L170102;RETRATTORI OCULARI;2008-02-08
1;1582;2007-08-26;;;N;2007-08-26;9999-12-31;OERTEL + LEHNER GMBH;;147796098;DA E 4026/1 A E 4026/10H;SCATOLE PORTASTRUMENTI IN ACCIAIO INOX CON TAPPETO IN SILICONE;S0199;MATERIALI PER IL CONFEZIONAMENTO IN STERILIZZAZIONE - ALTRI;
1;1641;2007-08-24;;;S;2007-08-24;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCD75;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1642;2007-08-26;;;N;2012-01-27;9999-12-31;PSY/EYE-KO INC.;;;8000;CANNULE LACRIMALI;Q020704;SET PER INTUBAZIONE DELLE VIE LACRIMALI;2017-12-31
1;1661;2007-08-31;;;N;2007-08-31;9999-12-31;PSY/EYE-KO INC.;;;SERIE 9000;CANNULE PER VITREO;Z12120299;STRUMENTAZIONE PER TRATTAMENTI TERAPEUTICI E CHIRURGICI IN OFTALMOLOGIA NON ALTRIMENTI CLASSIFICATA;2017-12-31
1;1662;2008-12-30;;;S;2008-12-30;9999-12-31;ESAOTE S.P.A.;05131180969;05131180969;970730000X;7300;Z11040103;ECOTOMOGRAFI PORTATILI;2015-06-30
1;1686;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TLC10;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1702;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCT10;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1721;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCT55;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1741;2007-08-10;;;S;2007-08-10;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCR10;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1743;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCT75;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1744;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TLC55;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1761;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TLC75;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1762;2007-07-11;;;S;2007-07-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TRT10;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1782;2008-03-19;;;S;2010-06-14;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCR55;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1783;2007-08-11;;;S;2007-08-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TVC55;SUTURATRICE PROXIMATE LINEAR CUTTER;H020201010101;SUTURATRICI LINEARI RETTE MONOPAZIENTE CON LAMA PER CHIRURGIA APERTA;
1;1801;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;1601-XX;CATETERI PER EMBOLECTOMIA 1 VIA;C019002;CATETERI PER EMBOLECTOMIA;2009-04-01
1;1802;2007-11-23;;;S;2007-11-23;9999-12-31;INVATEC SRL;03363140173;03363140173;FLC XXX XXX FXX;FALCON FORTE;C010401020199;CATETERI DILATATORI PER PTCA - ALTRI;
1;1803;2007-09-29;;;N;2007-09-29;9999-12-31;PHILIPS D.A.P. B.V.;;800608987B01;HF3451;WAKE-UP LIGHT;Z12040299;STRUMENTAZIONE PER TRATTAMENTI TERAPEUTICI IN MEDICINA GENERALE NON ALTRIMENTI CLASSIFICATA;2010-06-16
1;1804;2007-10-03;;;N;2007-10-03;9999-12-31;PHILIPS D.A.P. B.V.;;800608987B01;HP3621;INFRACARE;Z12069099;STRUMENTAZIONE VARIA PER FISIOTERAPIA E RIABILITAZIONE NON ALTRIMENTI CLASSIFICATA;2014-03-11
1;1841;2007-08-10;;;S;2007-08-10;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TCR75;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1842;2007-07-11;;;S;2007-07-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TRT75;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1843;2007-07-11;;;S;2007-07-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TRT55;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1844;2009-01-18;;;S;2009-01-18;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TVR55;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1861;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;1651-XX;CATETERI PER EMBOLECTOMIA A 2 VIE OVER-THE-WIRE;C019002;CATETERI PER EMBOLECTOMIA;2009-04-01
1;1862;2007-08-04;;;S;2007-08-04;9999-12-31;LEMAITRE VASCULAR INC.;;;2105-15;CATETERE PER PERFUSIONE DISTALE  LEMAITRE;C0199;DISPOSITIVI PER SISTEMA ARTERO-VENOSO - ALTRI;2010-02-12
1;1863;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;2103-XX;CATETERI PER OCCLUSIONE PRUITT;C0104020103;CATETERI DA OCCLUSIONE VASCOLARE;
1;1864;2008-04-26;;;S;2014-02-13;9999-12-31;LEMAITRE VASCULAR INC.;;;2102-09;CATETERI PER OCCLUSIONE  ED IRRIGAZIONE PRUITT;C0104020103;CATETERI DA OCCLUSIONE VASCOLARE;2012-12-31
1;1921;2007-07-11;;;S;2007-07-11;9999-12-31;ETHICON ENDO-SURGERY, LLC;;;TRD75;RICARICA PER SUTURATRICE LINEAR CUTTER;H0202010301;CARICATORI PER SUTURATRICI LINEARI CON LAMA PER CHIRURGIA APERTA;
1;1981;2007-08-23;;;N;2007-08-23;9999-12-31;RADIANT INNOVATION INC.;;;TH23F;TERMOMETRO A INFRAROSSI A DOPPIA FUNZIONE;Z129099;STRUMENTAZIONE VARIA PER ESPLORAZIONI FUNZIONALI ED INTERVENTI TERAPEUTICI NON ALTRIMENTI CLASSIFICATA;
1;1982;2007-11-15;;;S;2007-11-15;9999-12-31;ALCON LABORATORIES, INC;;;SN6AD3.XXX;ACRYSOF RESTOR ASFERICA - MODELLO SN6AD3;P0301020502;LENTI ACCOMODATIVE MULTIFOCALI;2008-10-30
1;2001;2008-12-12;;;S;2008-12-12;9999-12-31;MENFIS BIOMEDICA S.R.L.;04268600378;04268600378;PFLW2;PICOFLOW 2;Z12160401;SISTEMI PER URODINAMICA;
1;2021;2008-12-25;;;S;2008-12-25;9999-12-31;O.M.S. SPA OFFICINE MECCANICHE SPECIALIZZATE;00228440285;00228440285;S;LINEA ESSE;Z12110101;RIUNITI DENTISTICI;
1;2041;2008-04-26;;;S;2008-04-26;9999-12-31;LEMAITRE VASCULAR INC.;;;1500-05;INVISIGRIP;C01901901;DISPOSITIVI PER STRIPPING VENOSO;2009-04-01
1;2042;2009-02-26;;;S;2009-02-26;9999-12-31;EB NEURO S.P.A.;01772220065;04888840487;B9700066000;NEMUS 1;Z12100480;STRUMENTAZIONE PER ELETTROMIOGRAFIA - COMPONENTI ACCESSORI HARDWARE;
1;2043;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;SXXXX;MAXIFLO WRAP A PARETE STANDARD;P070102020101;PROTESI VASCOLARI RETTE IN PTFE SEMPLICI;
1;2044;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;SXXXXE;MAXIFLO WRAP CON STRUTTURA UNITY PARETE STANDARD;P070102020102;PROTESI VASCOLARI RETTE IN PTFE RINFORZATE;
1;2045;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;SXXXXP;MAXIFLO WRAP CON RINFORZO INTERO (O TERMINALE O CENTRALE) IN PTFE PARETE STANDARD;P070102020102;PROTESI VASCOLARI RETTE IN PTFE RINFORZATE;
1;2046;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;TXXXX;MAXIFLO ULTRATHIN A PARETE ULTRASOTTILE;P070102020101;PROTESI VASCOLARI RETTE IN PTFE SEMPLICI;
1;2047;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;TXXXXE;MAXIFLO ULTRATHIN A PARETE ULTRASOTTILE CON STRUTTURA UNITY;P070102020102;PROTESI VASCOLARI RETTE IN PTFE RINFORZATE;
1;2048;2008-04-17;;;S;2008-04-17;9999-12-31;VASCUTEK LTD;;806391432;TXXXXP;MAXIFLO ULTRATHIN A PARETE ULTRASOTTILE CON SUPPORTO IN PTFE;P070102020102;PROTESI VASCOLARI RETTE IN PTFE RINFORZATE;
1;2049;2008-06-21;;;S;2008-06-21;9999-12-31;VASCUTEK LTD;;806391432;SXXXXS;SEALPTFE WRAP A PARETE STANDARD;P070102020101;PROTESI VASCOLARI RETTE IN PTFE SEMPLICI;
1;2050;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;SXXXXES;SEALPTFE WRAP A PARETE STANDARD CON STRUTTURA UNITY;P070102020102;PROTESI VASCOLARI RETTE IN PTFE RINFORZATE;
1;2051;2008-04-16;;;S;2008-04-16;9999-12-31;VASCUTEK LTD;;806391432;SXXXXXPS;SEALPTFE WRAP A PARETE STANDARD CON SUPPORTO IN PTFE INTERO, TERMINALE, CENTRALE;P070102020102;PROTESI VASCOLARI RETTE IN PTFE RINFORZATE;
1;2061;2008-12-03;;;S;2008-12-03;9999-12-31;O.M.S. SPA OFFICINE MECCANICHE SPECIALIZZATE;00228440285;00228440285;508562 (M);ARCADIA P;Z12011201;POLTRONE OPERATORIE;
1;2101;2008-03-02;;;S;2008-03-02;9999-12-31;ALCON LABORATORIES, INC;;;0005690005;PROVISCDISPOSITIVO VISCOCHIRURGICO OFTALMICO(SODIO IALURONATO);Q02030301;ACIDO IALURONICO E DERIVATI PER OFTALMOLOGIA;2008-10-24
1;2102;2008-05-22;;;S;2008-05-22;9999-12-31;HOFFRICHTER;;811931457;00004007;VENTILATORE POLMONARE VOLUMETRICO/PRESSOMETRICO MOD. CARAT I;Z12030103;VENTILATORI POLMONARI PER USO EXTRAOSPEDALIERO;
1;2121;2007-09-27;;;S;2007-09-27;9999-12-31;N.G.C. MEDICAL SPA;09831040150;02196770131;KYOTO-06E;POMPA CENTRIFUGA MONOUSO PER LA CIRCOLAZIONE EXTRACORPOREA, MODELLO KYOTO-06E;C030199;DISPOSITIVI PER CIRCOLAZIONE EXTRACORPOREA ED ASSISTITA - ALTRI;
1;2141;2007-08-02;;;S;2007-08-02;9999-12-31;FRESENIUS MEDICAL CARE AG & CO KGAA;;811127677;5055231;GENIUS 90 XL;F020102;LINEE ARTEROVENOSE A DOPPIOAGO;
