"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2008","2008",1540.501,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2009","2009",1562.616,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2010","2010",1533.958,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2011","2011",1511.98,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2012","2012",1459.589,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2013","2013",1478.695,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2014","2014",1435.33,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2015","2015",1439.823,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2016","2016",1424.606,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2017","2017",1425.186,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2004","2004",31.678,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2005","2005",59.576,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2006","2006",72.39,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2007","2007",76.84,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2008","2008",77.47,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2009","2009",72.338,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2010","2010",63.813,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2011","2011",70.343,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2012","2012",71.748,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2013","2013",79.329,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2014","2014",82.485,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2015","2015",80.748,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2016","2016",90.374,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2017","2017",98.775,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2004","2004",2988.534,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2005","2005",2934.254,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2006","2006",2893.51,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2007","2007",2866.705,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2008","2008",2850.045,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2009","2009",2852.671,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2010","2010",2837.955,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2011","2011",2822.051,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2012","2012",2800.156,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2013","2013",2809.69,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2014","2014",2798.521,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2015","2015",2783.799,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2016","2016",2779.733,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","1","maschi","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2017","2017",2783.133,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004","2004",35.423,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005","2005",34.397,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006","2006",27.257,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007","2007",28.026,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008","2008",27.444,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009","2009",24.984,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010","2010",21.599,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011","2011",19.295,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012","2012",19.959,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013","2013",21.795,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014","2014",20.42,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015","2015",21.168,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",15.796,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",16.163,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2004","2004",1396.941,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2005","2005",1380.957,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2006","2006",1360.462,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2007","2007",1350.214,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2008","2008",1354.078,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2009","2009",1348.88,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2010","2010",1324.618,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2011","2011",1298.889,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2012","2012",1267.58,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2013","2013",1249.736,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2014","2014",1243.572,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2015","2015",1245.593,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2016","2016",1238.444,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2017","2017",1212.373,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2004","2004",56.552,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2005","2005",87.17,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2006","2006",122.085,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2007","2007",133.386,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2008","2008",126.186,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2009","2009",127.06,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2010","2010",113.883,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2011","2011",116.649,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2012","2012",129.622,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2013","2013",135.496,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2014","2014",156.608,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2015","2015",141.31,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2016","2016",143.555,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2017","2017",150.516,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2004","2004",2850.485,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2005","2005",2797.796,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2006","2006",2755.811,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2007","2007",2733.762,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2008","2008",2709.371,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2009","2009",2690.647,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2010","2010",2682.598,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2011","2011",2660.17,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2012","2012",2657.872,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2013","2013",2650.968,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2014","2014",2650.118,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2015","2015",2626.647,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2016","2016",2610.362,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","2","femmine","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2017","2017",2600.674,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2004","2004",97.616,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2005","2005",84.519,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2006","2006",77.353,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2007","2007",71.217,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2008","2008",68.331,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2009","2009",60.826,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2010","2010",58.84,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2011","2011",50.321,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2012","2012",51.609,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2013","2013",52.847,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2014","2014",48.813,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2015","2015",46.551,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2016","2016",39.003,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2017","2017",40.284,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2004","2004",3049.23,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2005","2005",3000.131,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2006","2006",2938.674,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2007","2007",2907.418,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2008","2008",2894.579,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2009","2009",2911.496,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2010","2010",2858.575,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2011","2011",2810.869,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2012","2012",2727.17,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2013","2013",2728.431,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2014","2014",2678.902,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2015","2015",2685.416,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2016","2016",2663.051,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","4","licenza di scuola media","ITL","italiano-a","2017","2017",2637.559,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2004","2004",88.231,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2005","2005",146.746,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2006","2006",194.474,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2007","2007",210.226,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2008","2008",203.657,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2009","2009",199.398,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2010","2010",177.696,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2011","2011",186.992,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2012","2012",201.37,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2013","2013",214.825,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2014","2014",239.093,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2015","2015",222.058,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2016","2016",233.929,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","11","laurea e post-laurea","ITL","italiano-a","2017","2017",249.291,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2004","2004",5839.019,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2005","2005",5732.05,,
"IT","Italia","POP_15","popolazione 15 anni e oltre (migliaia)","9","totale","Y15-24","15-24 anni","99","totale","ITL","italiano-a","2006","2006",5649.32,,
